F1,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.1716,0.20063,0.20966,0.21693,0.20348,0.23042,0.23789,5.6137,1.1081,10.809,0.37597
0.1109,0.10837,0.1255,0.1087,0.11711,0.10367,0.10924,5.4832,1.1062,10.766,0.25927
0.11819,0.13866,0.13806,0.12253,0.13568,0.11432,0.12289,6.2501,1.199,11.415,0.27514
0.11697,0.11135,0.14355,0.11527,0.13688,0.1302,0.15612,6.2902,1.1257,11.304,0.28009
0.12809,0.12336,0.14342,0.12356,0.13775,0.13199,0.15435,6.237,1.154,11.526,0.27219
0.11607,0.12271,0.14228,0.11415,0.13575,0.14177,0.1391,6.2962,1.2337,11.398,0.26494
0.11984,0.12407,0.14696,0.11873,0.13687,0.13301,0.14877,6.5908,1.1795,11.49,0.28016
0.11268,0.12138,0.15939,0.12716,0.14902,0.13544,0.14393,6.3586,1.2567,11.358,0.27409
0.12842,0.12861,0.16009,0.13676,0.14442,0.14023,0.13909,6.2267,1.1726,11.369,0.25983
0.13515,0.11223,0.13523,0.11749,0.13317,0.1258,0.13429,6.2561,1.2033,11.388,0.2824
0.13187,0.16309,0.19575,0.14361,0.16356,0.1661,0.18561,6.3701,1.1949,11.372,0.28551
0.12357,0.11852,0.14031,0.11124,0.15041,0.12433,0.1374,6.4754,1.1616,11.363,0.30037
0.12152,0.12701,0.14987,0.12327,0.12993,0.11895,0.13523,7.1662,1.1861,11.565,0.28771
0.13052,0.12274,0.14551,0.12133,0.13793,0.12996,0.14883,6.2451,1.1555,11.412,0.26947
0.11988,0.11803,0.13828,0.11539,0.1323,0.12597,0.13502,6.3726,1.2169,11.333,0.26172
0.12409,0.116,0.13628,0.11668,0.12912,0.13076,0.13585,6.2727,1.1609,11.459,0.26095
0.13517,0.13509,0.1546,0.12219,0.13935,0.13149,0.14164,6.3229,1.1587,11.365,0.29253
0.1201,0.11814,0.13449,0.11211,0.13016,0.13089,0.13599,6.3031,1.1994,11.343,0.27955
0.11309,0.10964,0.14063,0.11111,0.13296,0.12944,0.14157,6.2944,1.1527,11.45,0.30122
0.12004,0.11567,0.14998,0.1211,0.13871,0.1321,0.13688,6.2721,1.1669,11.59,0.26507
,,,,,,,,,,
0.124888,0.126765,0.149492,0.1249655,0.140728,0.135342,0.1459845,6.28486,1.17462,11.35375,0.281409
F2,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.1469,0.12622,0.14768,0.12799,0.17933,0.15127,0.18504,6.2658,1.2158,11.497,0.26988
0.12117,0.12461,0.14242,0.13015,0.14476,0.14164,0.14989,6.5284,1.2119,11.418,0.31111
0.13416,0.13124,0.17246,0.1365,0.15747,0.14433,0.16495,6.329,1.206,11.437,0.28916
0.12446,0.12659,0.1446,0.13046,0.14333,0.1458,0.17104,6.3082,1.1847,11.642,0.27313
0.12638,0.12789,0.14826,0.14492,0.15121,0.14072,0.1577,6.3629,1.1907,11.691,0.29317
0.12441,0.12933,0.1597,0.13317,0.14722,0.14718,0.15881,6.3336,1.192,11.396,0.28291
0.14505,0.13647,0.15841,0.13287,0.16911,0.17939,0.15522,6.2686,1.1859,11.405,0.31893
0.11992,0.1216,0.14399,0.13591,0.14649,0.14646,0.17069,6.1474,1.2236,11.446,0.26732
0.13413,0.12643,0.16292,0.14349,0.15682,0.13414,0.13479,6.1949,1.2029,11.418,0.26566
0.13284,0.13292,0.14383,0.1318,0.14742,0.14515,0.14802,6.3463,1.1666,11.383,0.28615
0.1436,0.13239,0.15277,0.13123,0.14774,0.14234,0.15818,6.2289,1.1871,11.51,0.26906
0.12899,0.12881,0.14761,0.12686,0.14359,0.13758,0.14587,6.2571,1.2257,11.388,0.2826
0.14086,0.14009,0.16527,0.1356,0.14169,0.13765,0.15508,6.3471,1.1797,11.456,0.27256
0.12687,0.12914,0.14915,0.12652,0.13975,0.13912,0.15485,6.2281,1.1941,11.485,0.30563
0.12306,0.12037,0.15304,0.13353,0.14719,0.14589,0.17416,6.3173,1.2868,11.746,0.27096
0.13927,0.14372,0.15902,0.12805,0.15182,0.14507,0.15414,6.2553,1.1889,11.468,0.267
0.12889,0.12904,0.14324,0.13045,0.14342,0.13881,0.15405,6.3753,1.2629,11.533,0.26889
0.13367,0.12773,0.15183,0.13567,0.13928,0.13816,0.1517,6.2535,1.1817,11.556,0.28088
0.14281,0.13455,0.15387,0.13167,0.14656,0.14407,0.15233,6.2764,1.2411,11.489,0.26544
0.1262,0.12539,0.15113,0.1361,0.14636,0.14505,0.14306,6.2368,1.2552,11.6,0.32582
,,,,,,,,,,
0.132182,0.1297265,0.15256,0.133147,0.149528,0.144491,0.1569785,6.293045,1.209165,11.4982,0.283313
F3,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.62095,0.60049,0.58988,0.60065,0.60515,0.59563,0.62454,6.6464,1.8843,16.009,0.59
0.535,0.55862,0.62217,0.58376,0.61447,0.59662,0.59442,7.1406,1.8615,16.334,0.58605
0.48584,0.56349,0.61418,0.5887,0.65377,0.60421,0.59243,6.629,1.881,15.85,0.57435
0.53869,0.57652,0.62186,0.59172,0.68384,0.60573,0.61614,6.5241,1.8274,16.035,0.58023
0.51754,0.54835,0.60417,0.61496,0.62076,0.58744,0.63102,6.609,1.8483,15.895,0.59756
0.48144,0.55231,0.59725,0.59487,0.61284,0.58316,0.59872,6.5343,1.8031,15.821,0.59609
0.51944,0.57265,0.60915,0.59946,0.60998,0.58318,0.60282,6.599,1.9082,16.209,0.55259
0.50483,0.56801,0.61248,0.59146,0.61798,0.58786,0.60652,6.5534,1.8122,16.055,0.59361
0.53543,0.57229,0.6165,0.58716,0.63361,0.59697,0.60339,6.5957,1.8451,15.853,0.59026
0.53276,0.56718,0.63651,0.58059,0.61587,0.58676,0.61127,6.6034,1.896,16.001,0.60642
0.49742,0.57629,0.59282,0.58069,0.62509,0.60288,0.5986,6.76,2.1624,15.916,0.57881
0.52007,0.56813,0.6184,0.58795,0.62033,0.6176,0.59869,6.5657,1.871,15.866,0.59052
0.50599,0.56464,0.61641,0.58196,0.64765,0.64383,0.67834,6.5673,1.82,15.86,0.57631
0.50119,0.56186,0.62291,0.58423,0.61156,0.59441,0.60389,6.563,1.8596,15.79,0.62497
0.56905,0.63201,0.60656,0.59575,0.62137,0.59563,0.60764,6.5326,1.834,15.866,0.63603
0.50048,0.58721,0.59596,0.59665,0.61711,0.58826,0.61119,6.5599,1.8759,15.828,0.61829
0.50785,0.56872,0.63388,0.60849,0.6616,0.60454,0.60673,6.5752,1.8077,16.482,0.6144
0.51179,0.53246,0.59754,0.61293,0.61743,0.62235,0.6442,6.5351,1.8211,15.893,0.57059
0.49816,0.55058,0.62938,0.58397,0.69669,0.61832,0.61754,6.556,1.8627,17.072,0.62399
0.59888,0.65196,0.69936,0.6143,0.62565,0.58658,0.60129,6.603,1.8918,15.817,0.64598
,,,,,,,,,,
0.52414,0.5736885,0.6168685,0.5940125,0.6306375,0.600098,0.612469,6.612635,1.868665,16.0226,0.5973525
,F4,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.11098,0.11123,0.13488,0.13508,0.14943,0.13555,0.1377,6.3288,1.217,10.861,0.2773
0.13703,0.13115,0.15024,0.13611,0.13835,0.13629,0.14051,6.2378,1.162,11.024,0.27543
0.12562,0.1202,0.14685,0.12023,0.13141,0.13126,0.13664,6.2735,1.169,10.888,0.26707
0.13304,0.12951,0.14529,0.14536,0.15623,0.14852,0.14458,6.3123,1.221,10.994,0.26059
0.11962,0.10916,0.1408,0.12513,0.14716,0.13552,0.15805,6.3654,1.1577,10.93,0.27167
0.13149,0.12675,0.14268,0.12649,0.1363,0.12923,0.14047,6.2235,1.1608,10.951,0.2602
0.12374,0.12299,0.14271,0.12065,0.13387,0.12856,0.13837,6.2692,1.1579,10.972,0.26118
0.12202,0.1206,0.1356,0.12246,0.13047,0.13653,0.13893,6.2346,1.1629,10.939,0.29634
0.11427,0.11207,0.13806,0.12544,0.13629,0.14321,0.16499,6.229,1.1556,10.922,0.27441
0.11648,0.12505,0.14068,0.12531,0.13766,0.1343,0.13618,6.2721,1.2001,11.001,0.28276
0.13002,0.1283,0.14535,0.13063,0.1403,0.13718,0.15997,6.5293,1.151,10.922,0.26491
0.13914,0.12689,0.14976,0.13072,0.14655,0.13827,0.14111,6.2952,1.1734,10.931,0.27672
